team,speler,positie,prijs,speler_id
PEC Zwolle,Sherel Floranus,Forward,4.00,sherel-floranus
Fortuna Sittard,Shiloh 't Zand,Defender,3.75,shiloh-t-zand
Fortuna Sittard,Shiloh T Zand,Defender,4.25,shiloh-t-zand
Sparta Rotterdam,Shunsuke Mito,Midfielder,2.00,shunsuke-mito
FC Utrecht,Siebe Horemans,Midfielder,3.75,siebe-horemans
Fortuna Sittard,Siebe Wylin,Defender,1.75,siebe-wylin
PEC Zwolle,Simon Graves,Midfielder,4.50,simon-graves
Excelsior,Simon Janssen,Midfielder,1.00,simon-janssen
SC Cambuur,Skye Vink,Midfielder,2.00,skye-vink
FC Twente,Sondre Rjaster,Midfielder,2.75,sondre-rjaster
FC Twente,Sondre Ørjasæter,Midfielder,1.75,sondre-orjasaeter
Telstar,Soufiane Hetli,Defender,3.25,soufiane-hetli
Go Ahead Eagles,Sren Tengstedt,Midfielder,1.50,sren-tengstedt
Excelsior,Stan Henderikx,Midfielder,0.75,stan-henderikx
FC Twente,Stav Lemkin,Midfielder,3.25,stav-lemkin
Go Ahead Eagles,Stefan Ingi Sigurdarson,Forward,2.00,stefan-ingi-sigurdarson
Go Ahead Eagles,Stefán Ingi Sigurdarson,Midfielder,3.75,stefan-ingi-sigurdarson
Ajax,Steven Berghuis,Forward,2.50,steven-berghuis
AZ,Stije Resink,Goalkeeper,2.50,stije-resink
FC Groningen,Stije Resink,Midfielder,4.00,stije-resink
Excelsior,Stijn van Gassel,Goalkeeper,1.75,stijn-van-gassel
PSV,Sven Mijnans,Forward,2.25,sven-mijnans
Fortuna Sittard,Syb van Ottele,Midfielder,2.25,syb-van-ottele
Go Ahead Eagles,Søren Tengstedt,Midfielder,2.25,soren-tengstedt
sc Heerenveen,T Schreuder,Midfielder,1.00,t-schreuder
PEC Zwolle,T Sommer,Midfielder,4.50,t-sommer
NEC,T Storm,Defender,3.25,t-storm
Sparta Rotterdam,Teo Quintero,Midfielder,4.00,teo-quintero
Go Ahead Eagles,Thibo Baeten,Forward,4.00,thibo-baeten
FC Groningen,Thijmen Blokzijl,Defender,1.75,thijmen-blokzijl
SC Cambuur,Thijs Jansen,Midfielder,3.50,thijs-jansen
Feyenoord,Thijs Kraaijeveld,Forward,0.75,thijs-kraaijeveld
PEC Zwolle,Thijs Oosting,Goalkeeper,3.00,thijs-oosting
FC Groningen,Thom van Bergen,Forward,4.50,thom-van-bergen
Willem II,Thomas Didillon,Midfielder,2.25,thomas-didillon
Willem II,Thomas Didillon-Hödl,Goalkeeper,3.00,thomas-didillon-hodl
NEC,Thomas Ouwejan,Forward,2.25,thomas-ouwejan
Willem II,Thomas Verheydt,Midfielder,4.00,thomas-verheydt
FC Twente,Thomas van den Belt,Goalkeeper,3.75,thomas-van-den-belt
Feyenoord,Tijme Wessels,Defender,2.00,tijme-wessels
Excelsior,Tijmen Holla,Defender,2.50,tijmen-holla
PSV,Tijn Smolenaars,Midfielder,3.75,tijn-smolenaars
PEC Zwolle,Tijs Velthuis,Defender,0.75,tijs-velthuis
FC Groningen,Tika de Jonge,Forward,3.00,tika-de-jonge
Go Ahead Eagles,Tino Jukic,Defender,4.25,tino-jukic
Feyenoord,Tjark Ernst,Defender,2.25,tjark-ernst
NEC,Tjaronn Chery,Defender,1.50,tjaronn-chery
PEC Zwolle,Tobias Sommer,Goalkeeper,3.75,tobias-sommer
NEC,Tobias Storm,Forward,3.25,tobias-storm
Feyenoord,Tobias van den Elshout,Defender,2.25,tobias-van-den-elshout
Ajax,Tolu Arokodare,Defender,2.75,tolu-arokodare
PEC Zwolle,Tom de Graaff,Midfielder,2.25,tom-de-graaff
Go Ahead Eagles,Tomas Galvez,Defender,4.00,tomas-galvez
Willem II,Tonny Emilio Trindade de Vilhena,Defender,2.00,tonny-emilio-trindade-de-vilhena
FC Groningen,Travis Hernes,Midfielder,1.50,travis-hernes
AZ,Troy Parrott,Midfielder,2.75,troy-parrott
Feyenoord,Tsuyoshi Watanabe,Forward,1.75,tsuyoshi-watanabe
FC Groningen,Tygo Land,Forward,3.25,tygo-land
FC Groningen,Tyrique Mercera,Defender,2.75,tyrique-mercera
Telstar,Tyrone Owusu,Midfielder,3.50,tyrone-owusu
Willem II,Uriël van Aalst,Goalkeeper,3.00,uriel-van-aalst
Excelsior,Valentin Sulzbacher,Midfielder,4.00,valentin-sulzbacher
FC Utrecht,Vasilios Barkas,Defender,3.75,vasilios-barkas
sc Heerenveen,Vasilios Zagaritis,Midfielder,2.00,vasilios-zagaritis
Go Ahead Eagles,Victor Edvardsen,Midfielder,3.00,victor-edvardsen
FC Utrecht,Victor Jensen,Midfielder,3.50,victor-jensen
Ajax,Viktor Tsygankov,Midfielder,3.75,viktor-tsygankov
NEC,Vito van Crooij,Midfielder,4.00,vito-van-crooij
AZ,Weslley Patati,Midfielder,1.75,weslley-patati
SC Cambuur,Wiebe Kooistra,Defender,2.75,wiebe-kooistra
SC Cambuur,Wiebe van der Heide,Midfielder,0.75,wiebe-van-der-heide
NEC,Willum Thor Willumsson,Defender,3.50,willum-thor-willumsson
FC Twente,Wout Weghorst,Defender,1.00,wout-weghorst
AZ,Wouter Goes,Midfielder,4.50,wouter-goes
FC Groningen,Wouter Prins,Midfielder,4.25,wouter-prins
Willem II,Wouter van der Steen,Forward,1.50,wouter-van-der-steen
Excelsior,Y Finey,Forward,2.50,y-finey
ADO Den Haag,Yannick Eduardo,Forward,3.50,yannick-eduardo
PSV,Yarek Gasiorowski,Defender,1.00,yarek-gasiorowski
NEC,Yassin Moslih,Forward,1.00,yassin-moslih
Fortuna Sittard,Yassin Oukili,Forward,4.00,yassin-oukili
Go Ahead Eagles,Yassir Salah Rahmouni,Midfielder,4.50,yassir-salah-rahmouni
FC Utrecht,Yoann Cathline,Forward,3.75,yoann-cathline
Sparta Rotterdam,Younes Jaber El Maftahi,Defender,3.75,younes-jaber-el-maftahi
FC Twente,Younes Taha,Goalkeeper,2.75,younes-taha
FC Twente,Younes Taha El Idrissi,Midfielder,3.25,younes-taha-el-idrissi
Ajax,Youri Baas,Midfielder,2.75,youri-baas
Ajax,Youri Regeer,Forward,4.25,youri-regeer
FC Utrecht,Zidane Iqbal,Defender,1.50,zidane-iqbal
Excelsior,Ágúst Orri Thorsteinsson,Goalkeeper,4.00,agust-orri-thorsteinsson
FC Utrecht,Ángel Alarcón,Midfielder,4.25,angel-alarcon
